idestacao,uf,codibge,cidade,nomeestacao,ultimovalor,datahoraUltimovalor,acc1hr,acc3hr,acc6hr,acc12hr,acc24hr,acc48hr,acc72hr,acc96hr,tipoestacao,status
7285,SP,3552809,TABOÃO DA SERRA,Parque Assunção,0,24/07/26 20:40,-,-,-,-,-,1.8,1.8,1.8,1,0
4119,SP,3548708,SÃO BERNARDO DO CAMPO,Baeta Neves,0,24/07/26 20:10,-,-,-,-,-,1,1,1,1,0
3521,SP,3555406,UBATUBA,Centro 2,0,24/07/26 21:10,-,-,-,-,-,-,-,-,1,0
7047,SP,3516309,FRANCISCO MORATO,Jardim Arpoador,0,24/07/26 20:50,-,0.2,0.2,0.4,0.4,0.8,0.8,0.8,1,0
7224,SP,3506003,BAURU,Vila Industrial,0,23/06/26 12:10,-,-,-,-,-,-,-,-,1,0
4406,SP,3550407,SÃO PEDRO,Portal das Flores,0,24/07/26 21:00,1.63,4.99,16.61,37.48,47.21,51.21,51.21,51.21,1,0
7023,SP,3508405,CABREÚVA,Bananal,0,24/07/26 20:50,-,-,-,-,0.2,1.8,1.8,2,1,0
7276,SP,3549805,SÃO JOSÉ DO RIO PRETO,Jardim Nazareth,0,24/03/26 02:10,-,-,-,-,-,-,-,-,1,0
3516,SP,3555406,UBATUBA,Marafunda,0,24/07/26 20:50,-,-,-,-,-,-,-,-,1,0
4109,SP,3548708,SÃO BERNARDO DO CAMPO,Areião,0,24/07/26 21:00,-,0.2,0.2,0.6,0.8,2.4,2.4,2.4,1,0
7240,SP,3522307,ITAPETININGA,Chapadinho,0,02/09/23 02:20,-,-,-,-,-,-,-,-,1,0
3839,SP,3509908,CANANÉIA,Centro,0,24/07/26 20:20,-,-,-,1.05,1.05,1.05,3.15,3.15,1,0
9921,SP,3509700,CAMPOS DO JORDÃO,Jd. Frei Orestes,0.2,24/07/26 20:20,0.8,5.8,5.8,6.6,6.6,6.6,6.6,6.6,10,0
3195,SP,3518305,GUARAREMA,Nogueira,0,24/07/26 21:00,-,-,-,-,-,-,0.2,0.2,1,0
6575,SP,3509700,CAMPOS DO JORDÃO,Ribeirao Capivari,0.2,24/07/26 20:20,1,5.8,5.8,6.4,6.4,6.4,6.4,6.4,3,0
9928,SP,3548500,SANTOS,Sabesp - Morro José Menino,0,31/03/23 16:10,-,-,-,-,-,-,-,-,10,0
6715,SP,3547304,SANTANA DE PARNAÍBA,Jardim Parnaiba,126.2,12/11/23 00:00,-,-,-,-,-,-,-,-,1,0
3085,SP,3550308,SÃO PAULO,Luz,0,24/07/26 20:20,-,-,-,-,-,1.4,1.4,1.4,1,0
7221,SP,3504503,AVARÉ,Centro,0,24/07/26 20:50,0.2,0.2,3,11,23,34.8,34.8,34.8,1,0
6437,SP,3509601,CAMPO LIMPO PAULISTA,Avenida João Amato,0,24/07/26 20:40,-,-,0.4,0.8,0.8,1,1,1,1,0
